TMA,Version,5.1-full,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0730-full,,,full,full,full;bot;,full,full,full,full
.,,,Confidential,,,,,Server,,Server,Server,Server,,,,Server,,Server,Server,,Server,,Server,,Server,,Server,,Server,,,,,,,,,,,;bot;EDP;perf,,,,
BE/Mem,,,,Data_Sharing,,,"( MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD*min($PEBS, #Mem_XSNP_Hit_Cost - #Mem_L2_Hit_Cost) + MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD*min($PEBS, #Mem_XSNP_HitM_Cost - #Mem_L2_Hit_Cost) ) * #FB_Factor / CLKS",,"( MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD*min($PEBS, #Mem_XSNP_Hit_Cost - #Mem_L2_Hit_Cost) + MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD*min($PEBS, #Mem_XSNP_Hit_Cost - #Mem_L2_Hit_Cost) * ( 1 - #True_XSNP_HitM_Fraction ) ) * #FB_Factor / CLKS",,,,,,,,,,,,,( #Mem_XSNP_Hit_Cost - #Mem_L2_Hit_Cost ) * #LOAD_XSNP_HIT * #FB_Factor / CLKS,,,,,,#Mem_XSNP_Hit_Cost * #LOAD_XSNP_HIT / CLKS,,,SNB/JKT ? #NA : IVB/IVT ? MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HIT_PS : HSW/HSX/BDW/BDX ? MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT_PS : SKL/SKX/CFL/CLX/CPX/ICL/ICX/RKL ? MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS : MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD,Clocks_Estimated,This metric estimates fraction of cycles while the memory subsystem was handling synchronizations due to data-sharing accesses. Data shared by multiple Logical Processors (even just read shared) may cause increased access latency due to cache coherency. Excessive data sharing can drastically harm multithreaded performance.,> 0.05 & P; $issueSyncxn,4.2,BvMS;Offcore;Snoop,1.0,pub/5.0,L4,;bot;,,ZeroOk,,
BE/Mem,,,,L3_Hit_Latency,,,,,"MEM_LOAD_RETIRED.L3_HIT*min($PEBS, #Mem_XSNP_None_Cost - #Mem_L2_Hit_Cost ) * #FB_Factor / CLKS",,,,,,,,,,,,,( #Mem_XSNP_None_Cost - #Mem_L2_Hit_Cost ) * #LOAD_L3_HIT / CLKS,,,,,,#Mem_XSNP_None_Cost * #LOAD_L3_HIT / CLKS,,,SNB/JKT ? #NA : IVB/IVT ? MEM_LOAD_UOPS_RETIRED.LLC_HIT_PS : HSW/HSX/BDW/BDX ? MEM_LOAD_UOPS_RETIRED.L3_HIT_PS : MEM_LOAD_RETIRED.L3_HIT_PS,Clocks_Estimated,This metric estimates fraction of cycles with demand load accesses that hit the L3 cache under unloaded scenarios (possibly L3 latency limited).  Avoiding private cache misses (i.e. L2 misses/L3 hits) will improve the latency; reduce contention with sibling physical cores and increase performance.  Note the value of this node may overlap with its siblings.,> 0.1 & P; $issueLat; ~overlap,4.2,BvML;MemoryLat,1.0,pub/5.0,L4,;bot;,,,,
BE/Mem,,,,SQ_Full,,,( XQ.FULL + L1D_MISS.L2_STALLS ) / CLKS,,,,,,( XQ.FULL_CYCLES + L1D_PEND_MISS.L2_STALLS ) / CLKS,,,,L1D_PEND_MISS.L2_STALL / CLKS,,,,,,,,,,,#SQ_Full_Cycles / CORE_CLKS,,,,Clocks,This metric measures fraction of cycles where the Super Queue (SQ) was full taking into account all request-types and both hardware SMT threads (Logical Processors).,> 0.3 & P; $issueBW,4.3,BvMB;MemoryBW;Offcore,,pub/5.0,L4,;bot;,,,,
BE/Mem,,,HBM_Bound,,,,,,,#NA,#MEM_Bound_Ratio * OCR.DEMAND_DATA_RD.PMM / OCR.READS_TO_CORE.L3_MISS,,,,,,,,,,,,,,,,,,,#NA,,Stalls,This metric estimates how often the CPU was stalled due to High Bandwidth Memory (HBM) accesses by loads.,> 0.1 & P,4.7,BvMB;BvML;MemoryBound;Offcore;Server;TmaL3mem,,pub/v4.6,L3,;bot;,,,,
BE/Mem,,,DRAM_Bound,,,,,( #MEM_Bound_Ratio - CXL_Mem_Bound ) if #PMM_App_Direct else #MEM_Bound_Ratio,,#MEM_Bound_Ratio,#MEM_Bound_Ratio - HBM_Bound,,,,,,,,( #MEM_Bound_Ratio - CXL_Mem_Bound ) if #PMM_App_Direct else #MEM_Bound_Ratio,,,#MEM_Bound_Ratio,,( 1 - #Mem_L3_Hit_Fraction ) * CYCLE_ACTIVITY.STALLS_L2_MISS / CLKS,,,,,,( 1 - #Mem_L3_Hit_Fraction ) * CYCLE_ACTIVITY.STALLS_L2_PENDING / CLKS,SNB ? MEM_LOAD_UOPS_MISC_RETIRED.LLC_MISS_PS : IVB/IVT/JKT ? MEM_LOAD_UOPS_RETIRED.LLC_MISS_PS : HSW/HSX/BDW/BDX ? MEM_LOAD_UOPS_RETIRED.L3_MISS_PS : MEM_LOAD_RETIRED.L3_MISS,Stalls,This metric estimates how often the CPU was stalled on accesses to external memory (DRAM) by loads. Better caching can improve the latency and increase performance.,> 0.1 & P,4.7,MemoryBound;TmaL3mem,1.0,pub/v3,L3,;bot;,,,,
BE/Mem,,,,MEM_Bandwidth,,,,,,,,,,,,,,,,,,,,,,,,,,#ORO_DRD_BW_Cycles / CLKS,,Clocks,This metric estimates fraction of cycles where the core's performance was likely hurt due to approaching bandwidth limits of external memory - DRAM ([SPR-HBM] and/or HBM).  The underlying heuristic assumes that a similar off-core traffic is generated by all IA cores. This metric does not aggregate non-data-read requests by this logical processor; requests from other IA Logical Processors/Physical Cores/sockets; or other non-IA devices like GPU; hence the maximum external memory bandwidth limits may or may not be approached when this metric is flagged (see Uncore counters for that).,> 0.2 & P; $issueBW,4.7,BvMB;MemoryBW;Offcore,,pub/v3,L4,;bot;,,,"Improve data accesses to reduce cacheline transfers from/to memory. Examples: 1) Consume all bytes of a each cacheline before it is evicted (e.g. reorder structure elements and split non-hot ones), 2) merge computed-limited with BW-limited loops, 3) NUMA optimizations in multi-socket system. Note: software prefetches will not help BW-limited application.",#Link: what is NUMA article
BE/Mem,,,,,MBA_Stalls,,,,,,,INT_MISC.MBA_STALLS / CLKS,,,,,,,,,,,,,,,,,,,,Clocks,This metric estimates fraction of cycles where the core's performance was likely hurt due to memory bandwidth Allocation feature (RDT's memory bandwidth throttling).,> 0.1 & P,4.6,MemoryBW;Offcore;Server,,,L5,,,ZeroOk,,
BE/Mem,,,,MEM_Latency,,,,,,,,,,,,,,,,,,,,,,,,,,#ORO_DRD_Any_Cycles / CLKS - MEM_Bandwidth,,Clocks,This metric estimates fraction of cycles where the performance was likely hurt due to latency from external memory - DRAM ([SPR-HBM] and/or HBM).  This metric does not aggregate requests from other Logical Processors/Physical Cores/sockets (see Uncore counters for that).,> 0.1 & P; $issueLat,4.7,BvML;MemoryLat;Offcore,,pub/v3,L4,;bot;,,,"Improve data accesses or interleave them with compute. Examples: 1) Data layout re-structuring, 2) Software Prefetches (also through the compiler).",#Link: Data re-layout; SW prefetching; AoS vs. SoA articles.
BE/Mem,,,,,Local_MEM,,,MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM*$PEBS * #FB_Factor / CLKS,,,,,,,,( #Mem_Local_DRAM_Cost - #Mem_XSNP_None_Cost ) * MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM * #FB_Factor / CLKS,,,,,( #Mem_Local_DRAM_Cost - #Mem_XSNP_None_Cost ) * MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM * #FB_Factor / CLKS,,,,,,#Mem_Local_DRAM_Cost * #LOAD_LCL_MEM / CLKS,,,#NA,SNB/JKT/IVB/HSW/BDW/SKL/KBL/KBLR/CFL/ICL/TGL/RKL/ADL/MTL/LNL ? #NA : IVT ? MEM_LOAD_UOPS_RETIRED.LLC_MISS_PS : HSX/BDX ? MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS : MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM,Clocks_Estimated,This metric estimates fraction of cycles while the memory subsystem was handling loads from local memory. Caching will improve the latency and increase performance.,> 0.1 & P,4.7,Server,1.0,pub/5.0,L5,;bot;,,,,
BE/Mem,,,,,Remote_MEM,,,MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM*$PEBS * #FB_Factor / CLKS if #DS else 0,,,,,,,,,,,,,( #Mem_Remote_DRAM_Cost - #Mem_XSNP_None_Cost ) * MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM * #FB_Factor / CLKS if #DS else 0,,,,,,#Mem_Remote_DRAM_Cost * #LOAD_RMT_MEM / CLKS,,,#NA,SNB/JKT/IVB/HSW/BDW/SKL/KBL/KBLR/CFL/ICL/TGL/RKL/ADL/MTL/LNL ? #NA : IVT ? MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_DRAM_PS : HSX/BDX ? MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS : MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS,Clocks_Estimated,This metric estimates fraction of cycles while the memory subsystem was handling loads from remote memory. This is caused often due to non-optimal NUMA allocations. #link to NUMA article,> 0.1 & P,5.1,Server;Snoop,1.0,pub/5.0,L5,;bot;,,,,
BE/Mem,,,,,Remote_Cache,,,( MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM*$PEBS + MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD*$PEBS ) * #FB_Factor / CLKS if #DS else 0,,,,,,,,,,,,,( ( #Mem_Remote_HitM_Cost - #Mem_XSNP_None_Cost ) * MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM + ( #Mem_Remote_Fwd_Cost - #Mem_XSNP_None_Cost ) * MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD ) * #FB_Factor / CLKS if #DS else 0,,,,,,( #Mem_Remote_HitM_Cost * #LOAD_RMT_HITM + #Mem_Remote_Fwd_Cost * #LOAD_RMT_FWD ) / CLKS,,,#NA,SNB/JKT/IVB/HSW/BDW/SKL/KBL/KBLR/CFL/ICL/TGL/RKL/ADL/MTL/LNL ? #NA : IVT ? MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_HITM_PS;MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_FWD_PS : HSX/BDX ? MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS;MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS : MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS;MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD_PS,Clocks_Estimated,This metric estimates fraction of cycles while the memory subsystem was handling loads from remote cache in other sockets including synchronizations issues. This is caused often due to non-optimal NUMA allocations. #link to NUMA article,> 0.05 & P; $issueSyncxn,5.1,Offcore;Server;Snoop,1.0,pub/5.0,L5,;bot;,,ZeroOk,,
BE/Mem,,,CXL_Mem_Bound,,,,,( ( ( 1 - #Mem_DDR_Hit_Fraction ) * #MEM_Bound_Ratio ) if ( #OneMillion * ( MEM_LOAD_L3_MISS_RETIRED.REMOTE_CXL_MEM + MEM_LOAD_RETIRED.LOCAL_CXL_MEM ) > MEM_LOAD_RETIRED.L1_MISS ) else 0 ) if #PMM_App_Direct else #NA,,#NA,#NA,,,,,,,,( ( ( 1 - #Mem_DDR_Hit_Fraction ) * #MEM_Bound_Ratio ) if ( #OneMillion * ( MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM + MEM_LOAD_RETIRED.LOCAL_PMM ) > MEM_LOAD_RETIRED.L1_MISS ) else 0 ) if #PMM_App_Direct else #NA,,,,,,,,,,,#NA,,Stalls,"This metric roughly estimates (based on idle latencies) how often the CPU was stalled on accesses to external CXL Memory by loads (e.g. 3D-Xpoint (Crystal Ridge, a.k.a. IXP) memory, PMM - Persistent Memory Module [from CLX to SPR] or any other CXL Type3 Memory [EMR onwards]). ",> 0.1 & P,4.8,MemoryBound;Server;TmaL3mem,1.0,pub/v3.5,L3,;bot;,,ZeroOk,Consider moving data-structure from AEP to DDR memory for better latency/bandwidth,#Link: Opt Guide CR section
BE/Mem,,,Store_Bound,,,,,,,,,,,,,,EXE_ACTIVITY.BOUND_ON_STORES / CLKS,,,,,EXE_ACTIVITY.BOUND_ON_STORES / CLKS,,,,,,,,RESOURCE_STALLS.SB / CLKS,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? MEM_UOPS_RETIRED.ALL_STORES_PS : MEM_INST_RETIRED.ALL_STORES_PS,Stalls,This metric estimates how often CPU was stalled  due to RFO store memory accesses; RFO store issue a read-for-ownership request before the write. Even though store accesses do not typically stall out-of-order CPUs; there are few cases where stores can lead to actual stalls. This metric will be flagged should RFO stores be a bottleneck.,> 0.2 & P,4.2,MemoryBound;TmaL3mem,,pub/v3,L3,;bot;,,,,
BE/Mem,,,,Store_Latency,,,,,,,,,,,,,,,,,,,,,,,,( #Store_L2_Hit_Cycles + ( 1 - #Mem_Lock_St_Fraction ) * #ORO_Demand_RFO_C1 ) / CLKS,,#NA,,Clocks_Estimated,This metric estimates fraction of cycles the CPU spent handling L1D store misses. Store accesses usually less impact out-of-order core performance; however; holding resources for longer time can lead into undesired implications (e.g. contention on L1D fill-buffer entries - see FB_Full),> 0.1 & P; $issueRFO; $issueSL; ~overlap,3.3,BvML;LockCont;MemoryLat;Offcore,1.0,pub/5.0,L4,;bot;,,,Consider to avoid/reduce unnecessary (or easily load-able/computable) memory store.,
BE/Mem,,,,False_Sharing,,,,,,,,,,,,( #Mem_Remote_HitM_Cost * OCR.DEMAND_RFO.L3_MISS:ocr_msr_val=0x103b800002 + #Mem_XSNP_HitM_Cost * OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM ) / CLKS if #DS else #Mem_XSNP_HitM_Cost * OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM / CLKS,#Mem_XSNP_HitM_Cost * OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM / CLKS,,,,( #Mem_Remote_HitM_Cost * #OCR_all_rfo_l3_miss_remote_hitm + #Mem_XSNP_HitM_Cost * #OCR_all_rfo_l3_hit_snoop_hitm ) / CLKS if #DS else #Mem_XSNP_HitM_Cost * #OCR_all_rfo_l3_hit_snoop_hitm / CLKS,#Mem_XSNP_HitM_Cost * #OCR_all_rfo_l3_hit_snoop_hitm / CLKS,( #Mem_Remote_HitM_Cost * OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.REMOTE_HITM + #Mem_XSNP_HitM_Cost * OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE ) / CLKS,#Mem_XSNP_HitM_Cost * OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.SNOOP_HITM / CLKS,( #Mem_Remote_HitM_Cost * OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.REMOTE_HITM + #Mem_XSNP_HitM_Cost * OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE ) / CLKS,#Mem_XSNP_HitM_Cost * OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE / CLKS,( #Mem_Remote_HitM_Cost * OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.REMOTE_HITM + #Mem_XSNP_HitM_Cost * OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE ) / CLKS,#Mem_XSNP_HitM_Cost * OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE / CLKS,,,SNB/JKT ? #NA : IVB ? MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HITM_PS;OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE : IVT ? MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HITM_PS;MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_HITM_PS;OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE;OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.REMOTE_HITM : HSW ? MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS;OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE : BDW ? MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS;OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.SNOOP_HITM : HSX/BDX ? MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS;MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS;OFFCORE_RESPONSE.DEMAND_RFO.LLC_HIT.HITM_OTHER_CORE;OFFCORE_RESPONSE.DEMAND_RFO.LLC_MISS.REMOTE_HITM : SKX ? MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS;OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE : CLX/CPX ? MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS;OCR.DEMAND_RFO.L3_HIT.HITM_OTHER_CORE : SKL/KBL/KBLR/CFL ? MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS;OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.SNOOP_HITM : OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM,Clocks_Estimated,This metric roughly estimates how often CPU was handling synchronizations due to False Sharing. False Sharing is a multithreading hiccup; where multiple Logical Processors contend on different data-elements mapped into the same cache line. ,> 0.05 & P; $issueSyncxn,5.0,BvMS;DataSharing;LockCont;Offcore;Snoop,1.0,pub/5.0,L4,;bot;,,ZeroOk,False Sharing can be easily avoided by padding to make Logical Processors access different lines.,
BE/Mem,,,,Split_Stores,,,"MEM_INST_RETIRED.SPLIT_STORES*min($PEBS, 1) / CLKS",,"MEM_INST_RETIRED.SPLIT_STORES*min($PEBS, 1) / CLKS",,,,,,,,,,,,,MEM_INST_RETIRED.SPLIT_STORES / CORE_CLKS,,,,,,2 * MEM_UOPS_RETIRED.SPLIT_STORES_PS / CORE_CLKS,,,SNB/JKT ? #NA : IVB/IVT/HSW/HSX/BDW/BDX ? MEM_UOPS_RETIRED.SPLIT_STORES_PS : MEM_INST_RETIRED.SPLIT_STORES_PS,Core_Utilization,This metric represents rate of split store accesses.  Consider aligning your data to the 64-byte cache line granularity.,> 0.2 & P; $issueSpSt,4.5,,,pub/5.0,L4,;bot;,,,,
BE/Mem,,,,Streaming_Stores,,,,,,,,,,,,,9 * OCR.STREAMING_WR.ANY_RESPONSE / CLKS,,,,,,,,,,,,,#NA,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX/SKL/KBL/KBLR/CFL/SKX/CLX/CPX ? #NA : OCR.STREAMING_WR.ANY_RESPONSE,Clocks_Estimated,This metric estimates how often CPU was stalled  due to Streaming store memory accesses; Streaming store optimize out a read request required by RFO stores. Even though store accesses do not typically stall out-of-order CPUs; there are few cases where stores can lead to actual stalls. This metric will be flagged should Streaming stores be a bottleneck.,> 0.2 & P; $issueSmSt,5.0,MemoryBW;Offcore,1.0,pub/5.0,L4,;bot;,,,,
BE/Mem,,,,DTLB_Store,,,"MEM_INST_RETIRED.STLB_HIT_STORES*min($PEBS, #Mem_STLB_Hit_Cost)  / CLKS + Store_STLB_Miss",,"MEM_INST_RETIRED.STLB_HIT_STORES*min($PEBS, #Mem_STLB_Hit_Cost)  / CLKS + Store_STLB_Miss",,,,,,,,,,,,,( #Mem_STLB_Hit_Cost * DTLB_STORE_MISSES.STLB_HIT:c1 + DTLB_STORE_MISSES.WALK_ACTIVE ) / CORE_CLKS,,( #Mem_STLB_Hit_Cost * DTLB_STORE_MISSES.STLB_HIT + DTLB_STORE_MISSES.WALK_DURATION:c1 + 7 * DTLB_STORE_MISSES.WALK_COMPLETED ) / CLKS,,,,( #Mem_STLB_Hit_Cost * DTLB_STORE_MISSES.STLB_HIT + DTLB_STORE_MISSES.WALK_DURATION ) / CLKS,,#NA,SNB/JKT ? #NA : IVB/IVT/HSW/HSX/BDW/BDX ? MEM_UOPS_RETIRED.STLB_MISS_STORES_PS : MEM_INST_RETIRED.STLB_MISS_STORES_PS,Clocks_Estimated,This metric roughly estimates the fraction of cycles spent handling first-level data TLB store misses.  As with ordinary data caching; focus on improving data locality and reducing working-set size to reduce DTLB overhead.  Additionally; consider using profile-guided optimization (PGO) to collocate frequently-used data on the same page.  Try using larger page sizes for large amounts of frequently-used data.,> 0.05 & P; $issueTLB,4.3,BvMT;MemoryTLB,1.0,pub/5.0,L4,;bot;,,,,
BE/Mem,,,,,Store_STLB_Hit,,,,"max( 0 , DTLB_Store - Store_STLB_Miss )",,,,,,,,,,,,,DTLB_Store - Store_STLB_Miss,,,,,,,,#NA,,Clocks_Estimated,"This metric roughly estimates the fraction of cycles where the TLB was missed by store accesses, hitting in the second-level TLB (STLB)",> 0.05 & P,3.6,MemoryTLB,1.0,,L5,,,,,
BE/Mem,,,,,Store_STLB_Miss,,DTLB_STORE_MISSES.WALK_ACTIVE / CLKS,,,,,,,,,,,,,,,DTLB_STORE_MISSES.WALK_ACTIVE / CORE_CLKS,,,,,,,,#NA,,Clocks_Calculated,"This metric estimates the fraction of cycles where the STLB was missed by store accesses, performing a hardware page walk",> 0.05 & P,3.6,MemoryTLB,1.0,pub/5.0,L5,;bot;,,,,
BE/Mem,,,,,,Store_STLB_Miss_4K,,,,,,,,,,,,,,,,Store_STLB_Miss * DTLB_STORE_MISSES.WALK_COMPLETED_4K / ( DTLB_STORE_MISSES.WALK_COMPLETED_4K + DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M + DTLB_STORE_MISSES.WALK_COMPLETED_1G ),,,,,,,,,,Clocks_Estimated,This metric estimates the fraction of cycles to walk the memory paging structures to cache translation of 4 KB pages for data store accesses.,> 0.05 & P,5.0,MemoryTLB,,,L6,,,ZeroOk,,
BE/Mem,,,,,,Store_STLB_Miss_2M,,,,,,,,,,,,,,,,Store_STLB_Miss * DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M / ( DTLB_STORE_MISSES.WALK_COMPLETED_4K + DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M + DTLB_STORE_MISSES.WALK_COMPLETED_1G ),,,,,,,,,,Clocks_Estimated,This metric estimates the fraction of cycles to walk the memory paging structures to cache translation of 2 or 4 MB pages for data store accesses.,> 0.05 & P,5.0,MemoryTLB,,,L6,,,ZeroOk,,
BE/Mem,,,,,,Store_STLB_Miss_1G,,,,,,,,,,,,,,,,Store_STLB_Miss * DTLB_STORE_MISSES.WALK_COMPLETED_1G / ( DTLB_STORE_MISSES.WALK_COMPLETED_4K + DTLB_STORE_MISSES.WALK_COMPLETED_2M_4M + DTLB_STORE_MISSES.WALK_COMPLETED_1G ),,,,,,,,,,Clocks_Estimated,This metric estimates the fraction of cycles to walk the memory paging structures to cache translation of 1 GB pages for data store accesses.,> 0.05 & P,5.0,MemoryTLB,,,L6,,,ZeroOk,,
BE/Core,,Core_Bound,,,,,,,,,,,,,,,"max( 0 , Backend_Bound - Memory_Bound )",,,,,,,,,,,,,Backend_Bound - Memory_Bound,,Slots,This metric represents fraction of slots where Core non-memory issues were of a bottleneck.  Shortage in hardware compute resources; or dependencies in software's instructions are both categorized under Core Bound. Hence it may indicate the machine ran out of an out-of-order resource; certain execution units are overloaded or dependencies in program's data- or instruction-flow are limiting the performance (e.g. FP-chained long-latency arithmetic operations).,> 0.1 & P,4.2,Backend;TmaL2;Compute,,pub/v3,L2,;bot;,,,Tip: consider Port Saturation analysis as next step.,
BE/Core,,,Divider,,,,,,,,,,ARITH.DIV_ACTIVE / CLKS,,,,,,,,,ARITH.DIVIDER_ACTIVE / CLKS,,ARITH.FPU_DIV_ACTIVE / CORE_CLKS,,10 * ARITH.DIVIDER_UOPS / CORE_CLKS,,,,ARITH.FPU_DIV_ACTIVE / CORE_CLKS,SNB/JKT/IVB/IVT/BDW/BDX ? ARITH.FPU_DIV_ACTIVE : HSW/HSX ? ARITH.DIVIDER_UOPS : SKL/SKX/KBLR/CLX/CPX/ICL/ICX/RKL/TGL/ADL/SPR/SPR-HBM ? ARITH.DIVIDER_ACTIVE : ARITH.DIV_ACTIVE,Clocks,This metric represents fraction of cycles where the Divider unit was active. Divide and square root instructions are performed by the Divider unit and can take considerably longer latency than integer or Floating Point addition; subtraction; or multiplication.,> 0.2 & P,5.0,BvCB;,1.0,pub/v3,L3,;bot;,,,,
BE/Core,,,,FP_Divider,,,,,,,,,ARITH.FPDIV_ACTIVE / CLKS,,,,ARITH.FP_DIVIDER_ACTIVE / CLKS,,,,,,,,,,,,,#NA,,Clocks,This metric represents fraction of cycles where the Floating-Point Divider unit was active.,> 0.2 & P,5.0,,,,L4,,,,,
BE/Core,,,,INT_Divider,,,,,,,,,,,,,Divider - FP_Divider,,,,,,,,,,,,,#NA,,Clocks,This metric represents fraction of cycles where the Integer Divider unit was active.,> 0.2 & P,5.0,,,,L4,,,,,
BE/Core,,,Serializing_Operation,,,,( BE_STALLS.SCOREBOARD + CPU_CLK_UNHALTED.C02 ) / CLKS,,,,,,RESOURCE_STALLS.SCOREBOARD / CLKS + C02_Wait,,,,RESOURCE_STALLS.SCOREBOARD / CLKS,,,,,PARTIAL_RAT_STALLS.SCOREBOARD / CLKS,,,,,,,,#NA,LNL/ARL ? BE_STALLS.SCOREBOARD : SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX ? #NA : SKL/KBL/KBLR/CFL/SKX/CLX/CPX ? PARTIAL_RAT_STALLS.SCOREBOARD : RESOURCE_STALLS.SCOREBOARD,Clocks,This metric represents fraction of cycles the CPU issue-pipeline was stalled due to serializing operations. Instructions like CPUID; WRMSR or LFENCE serialize the out-of-order execution which may limit performance.,> 0.1 & P; $issueSO,4.7,BvIO;PortsUtil,,pub/v3.4,L3,;bot;,,,,
BE/Core,,,,Slow_Pause,,,,,,,,,CPU_CLK_UNHALTED.PAUSE / CLKS,,,37 * MISC_RETIRED.PAUSE_INST / CLKS,140 * MISC_RETIRED.PAUSE_INST / CLKS,174 * ROB_MISC_EVENTS.PAUSE_INST / CLKS,40 * ROB_MISC_EVENTS.PAUSE_INST / CLKS,140 * ROB_MISC_EVENTS.PAUSE_INST / CLKS,,,,,,,,,,#NA,SNB/JKT/IVB/IVT/HSW/HSX/BDW/BDX/SKL/KBL/SKX ? #NA : KBLR/CFL/CLX/CPX ? ROB_MISC_EVENTS.PAUSE_INST : ICL/ICX/RKL/TGL ? MISC_RETIRED.PAUSE_INST : CPU_CLK_UNHALTED.PAUSE_INST,Clocks,This metric represents fraction of cycles the CPU was stalled due to PAUSE Instructions.,> 0.05 & P,4.3,,,,L4,;,,,,
BE/Core,,,,C01_Wait,,,,,,,,,CPU_CLK_UNHALTED.C01 / CLKS,,,,,,,,,,,,,,,,,,,Clocks,This metric represents fraction of cycles the CPU was stalled due staying in C0.1 power-performance optimized state (Faster wakeup time; Smaller power savings).,> 0.05 & P,4.9,C0Wait,,,L4,,,ZeroOk,,
BE/Core,,,,C02_Wait,,,,,,,,,CPU_CLK_UNHALTED.C02 / CLKS,,,,,,,,,,,,,,,,,,,Clocks,This metric represents fraction of cycles the CPU was stalled due staying in C0.2 power-performance optimized state (Slower wakeup time; Larger power savings).,> 0.05 & P,4.9,C0Wait,,pub/5.0,L4,;bot;,,ZeroOk,,
BE/Core,,,,Memory_Fence,,,,,,,,,13 * MISC2_RETIRED.LFENCE / CLKS,,,,,,,,,,,,,,,,,,,Clocks,This metric represents fraction of cycles the CPU was stalled due to LFENCE Instructions.,> 0.05 & P,4.3,,1.0,,L4,,,,,
